a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
20:0,20:4,351.0,191.23295950574172,123.37084655822257,129.73,11.244869941444412,19.67741744922109,1.8354576580689341,2.8450805825860335
16:1,18:1,57.0,129.54603451749378,83.57452600216686,87.315,9.757857090570653,-3.1067271962093406,0.43999803013887523,0.6820260039347653
12:0,13:0,45.0,60.22483379222349,38.8530761014122,39.98,6.29599872935184,0.7973318000521263,0.7472000695801108,1.1582094525165378
12:0,14:0,45.0,64.49022899738097,41.60482673438749,42.99,5.793953745069077,0.3469133666644476,0.6977801242080798,1.0816052735248218
12:0,14:1,45.0,60.797797327244645,39.22271424614023,40.165,5.65577359872193,0.8548786325344769,0.7401583935317119,1.1472943896132404
12:0,15:0,45.0,60.35215902222819,38.935217911351764,39.775,5.981168364124187,0.8735751414958021,0.7456236981253004,1.1557659726589078
12:0,15:1,45.0,60.22483379222349,38.8530761014122,39.95,6.51670929227321,0.7749309925467638,0.7472000695801108,1.1582094525165378
12:0,16:0,45.0,115.22933315425425,74.33833799530242,76.755,8.015296313923775,-3.9617998831604995,0.3905255612280579,0.6053404099893064
12:0,16:1,46.0,66.52743267745618,42.919095693420466,43.92,6.758224618936545,0.30777313825465913,0.691444087779864,1.0717839986328472
12:0,17:0,46.0,65.12685514740447,42.01553578408529,43.675,6.431125484703278,0.3615230344253304,0.7063138531084632,1.0948331168830163
12:0,17:1,46.0,62.134712242294,40.085203250505614,41.15,6.633061133443595,0.7311857832195334,0.7403269177561044,1.1475556132902927
12:0,17:2,46.0,62.2620374722987,40.16734506044518,41.91,6.397022744996297,0.6393599277412559,0.738812956779098,1.1452088737948114
12:0,18:0,45.0,114.59270700423075,73.92762894560462,76.41,8.87985923311851,-3.5372182345923453,0.3926951476793249,0.6087034122670247
12:0,18:1,46.0,117.52118729433886,75.81689057421453,77.835,8.539776050927799,-3.7278495138688443,0.39141878208556763,0.6067249613062434
12:0,18:2,46.0,109.49969780404271,70.6419565480222,73.485,8.797714191765948,-3.124106944247411,0.420092483563929,0.6511710921926311
